Ingredient,Pairings,Bad Pairings,Cuisine,Season,Health Insight,Carbs (g),Proteins (g),Vitamins
Beef,"['Honey', 'Rosemary', 'Basil']","['Vinegar', 'Milk']",Mexican,Summer,High in Protein,30,2,"['K', 'E']"
Carrot,"['Garlic', 'Basil', 'Thyme']","['Orange', 'Chocolate']",American,Fall,Rich in Antioxidants,15,15,"['C', 'D']"
Tomato,"['Lemon', 'Rosemary', 'Olive Oil']","['Peanut Butter', 'Cucumber']",Japanese,Fall,Rich in Antioxidants,15,18,"['E', 'K']"
Salmon,"['Rosemary', 'Garlic', 'Lemon']","['Ketchup', 'Vinegar']",Mediterranean,Summer,Good for Heart Health,20,8,"['C', 'A']"
Mushroom,"['Rosemary', 'Parmesan', 'Honey']","['Banana', 'Peanut Butter']",French,Winter,Rich in Antioxidants,15,15,"['C', 'A']"
Tomato,"['Thyme', 'Olive Oil', 'Rosemary']","['Chocolate', 'Banana']",Thai,Winter,High in Protein,20,2,"['B', 'K']"
Apple,"['Ginger', 'Thyme', 'Garlic']","['Peanut Butter', 'Cucumber']",Korean,Spring,Good for Heart Health,10,15,"['C', 'E']"
Mushroom,"['Thyme', 'Ginger', 'Olive Oil']","['Banana', 'Coffee']",Indian,Fall,High in Protein,5,2,"['A', 'E']"
Beef,"['Soy Sauce', 'Parmesan', 'Olive Oil']","['Coffee', 'Chocolate']",Korean,Winter,High in Protein,15,8,"['D', 'C']"
Chicken,"['Garlic', 'Rosemary', 'Honey']","['Milk', 'Ketchup']",Korean,Winter,Boosts Immunity,20,18,"['C', 'D']"
Mushroom,"['Rosemary', 'Ginger', 'Garlic']","['Tea', 'Milk']",Indian,Winter,Boosts Immunity,10,5,"['B', 'D']"
Mushroom,"['Parmesan', 'Garlic', 'Basil']","['Banana', 'Peanut Butter']",Indian,Fall,High in Protein,20,8,"['C', 'E']"
Pumpkin,"['Parmesan', 'Lemon', 'Olive Oil']","['Chocolate', 'Coffee']",Indian,Winter,Good for Heart Health,25,18,"['K', 'B']"
Pumpkin,"['Rosemary', 'Olive Oil', 'Honey']","['Cucumber', 'Milk']",Japanese,Spring,Supports Digestion,10,15,"['B', 'K']"
Pumpkin,"['Lemon', 'Parmesan', 'Olive Oil']","['Orange', 'Tea']",Indian,Fall,High in Protein,20,2,"['C', 'E']"
Pumpkin,"['Thyme', 'Lemon', 'Rosemary']","['Milk', 'Coffee']",American,Summer,High in Protein,10,8,"['E', 'A']"
Salmon,"['Lemon', 'Thyme', 'Basil']","['Milk', 'Vinegar']",Mediterranean,Fall,Rich in Antioxidants,25,15,"['B', 'A']"
Mushroom,"['Thyme', 'Garlic', 'Soy Sauce']","['Coffee', 'Peanut Butter']",American,Fall,Rich in Antioxidants,20,5,"['D', 'B']"
Pumpkin,"['Parmesan', 'Rosemary', 'Soy Sauce']","['Banana', 'Ketchup']",Mexican,Summer,High in Protein,5,8,"['A', 'D']"
Pumpkin,"['Honey', 'Thyme', 'Basil']","['Tea', 'Orange']",Mediterranean,Summer,Rich in Antioxidants,25,8,"['K', 'B']"
Asparagus,"['Lemon', 'Olive Oil', 'Ginger']","['Ketchup', 'Coffee']",Mediterranean,Spring,Supports Digestion,25,2,"['D', 'E']"
Beef,"['Ginger', 'Garlic', 'Parmesan']","['Chocolate', 'Milk']",Japanese,Fall,High in Protein,30,5,"['B', 'C']"
Pumpkin,"['Rosemary', 'Lemon', 'Basil']","['Cucumber', 'Vinegar']",American,Spring,Boosts Immunity,25,2,"['A', 'B']"
Salmon,"['Parmesan', 'Rosemary', 'Olive Oil']","['Cucumber', 'Vinegar']",Chinese,Winter,Boosts Immunity,25,18,"['A', 'C']"
Pumpkin,"['Garlic', 'Parmesan', 'Honey']","['Ketchup', 'Milk']",Korean,Winter,Good for Heart Health,15,18,"['K', 'B']"
Apple,"['Rosemary', 'Honey', 'Garlic']","['Banana', 'Ketchup']",Korean,Spring,Rich in Antioxidants,5,8,"['D', 'C']"
Pumpkin,"['Ginger', 'Honey', 'Parmesan']","['Coffee', 'Vinegar']",Japanese,Fall,High in Protein,25,5,"['E', 'B']"
Pumpkin,"['Thyme', 'Honey', 'Rosemary']","['Chocolate', 'Banana']",Thai,Summer,Good for Heart Health,30,15,"['E', 'A']"
Chicken,"['Lemon', 'Soy Sauce', 'Rosemary']","['Peanut Butter', 'Milk']",Indian,Summer,Good for Heart Health,25,15,"['C', 'B']"
Mushroom,"['Olive Oil', 'Basil', 'Thyme']","['Coffee', 'Peanut Butter']",Thai,Winter,Supports Digestion,20,5,"['A', 'B']"
Chicken,"['Ginger', 'Parmesan', 'Lemon']","['Ketchup', 'Cucumber']",Italian,Summer,High in Protein,5,8,"['B', 'D']"
Mushroom,"['Basil', 'Olive Oil', 'Parmesan']","['Banana', 'Orange']",French,Winter,Rich in Antioxidants,15,2,"['C', 'K']"
Mushroom,"['Parmesan', 'Rosemary', 'Olive Oil']","['Chocolate', 'Coffee']",French,Summer,Supports Digestion,20,8,"['B', 'K']"
Mushroom,"['Thyme', 'Garlic', 'Basil']","['Vinegar', 'Peanut Butter']",Italian,Fall,Supports Digestion,10,18,"['C', 'K']"
Carrot,"['Honey', 'Basil', 'Garlic']","['Peanut Butter', 'Chocolate']",Korean,Spring,High in Protein,20,12,"['K', 'C']"
Beef,"['Rosemary', 'Honey', 'Soy Sauce']","['Tea', 'Vinegar']",Japanese,Summer,Supports Digestion,15,12,"['K', 'E']"
Mushroom,"['Honey', 'Soy Sauce', 'Parmesan']","['Tea', 'Peanut Butter']",Japanese,Summer,Boosts Immunity,10,2,"['D', 'A']"
Asparagus,"['Soy Sauce', 'Rosemary', 'Ginger']","['Orange', 'Chocolate']",Italian,Winter,High in Protein,25,5,"['D', 'B']"
Apple,"['Garlic', 'Parmesan', 'Lemon']","['Banana', 'Milk']",Mediterranean,Fall,Rich in Antioxidants,25,5,"['A', 'K']"
Chicken,"['Parmesan', 'Olive Oil', 'Rosemary']","['Coffee', 'Tea']",French,Summer,Rich in Antioxidants,30,8,"['C', 'B']"
Beef,"['Lemon', 'Olive Oil', 'Parmesan']","['Vinegar', 'Ketchup']",Korean,Fall,Good for Heart Health,10,15,"['E', 'B']"
Apple,"['Honey', 'Soy Sauce', 'Basil']","['Chocolate', 'Milk']",American,Spring,High in Protein,30,18,"['K', 'E']"
Pumpkin,"['Ginger', 'Lemon', 'Parmesan']","['Cucumber', 'Orange']",Mediterranean,Winter,Good for Heart Health,20,2,"['K', 'B']"
Asparagus,"['Rosemary', 'Basil', 'Olive Oil']","['Vinegar', 'Orange']",French,Winter,Supports Digestion,15,2,"['D', 'E']"
Mushroom,"['Rosemary', 'Ginger', 'Basil']","['Chocolate', 'Banana']",Indian,Fall,Supports Digestion,25,18,"['K', 'A']"
Asparagus,"['Rosemary', 'Garlic', 'Basil']","['Cucumber', 'Tea']",Mexican,Spring,Boosts Immunity,5,2,"['C', 'B']"
Mushroom,"['Soy Sauce', 'Thyme', 'Lemon']","['Banana', 'Vinegar']",Mediterranean,Spring,Boosts Immunity,30,12,"['D', 'A']"
Tomato,"['Parmesan', 'Garlic', 'Rosemary']","['Cucumber', 'Milk']",French,Winter,Boosts Immunity,15,18,"['C', 'E']"
Salmon,"['Honey', 'Lemon', 'Rosemary']","['Tea', 'Orange']",Japanese,Winter,Supports Digestion,15,5,"['B', 'E']"
Salmon,"['Soy Sauce', 'Ginger', 'Rosemary']","['Coffee', 'Cucumber']",French,Fall,High in Protein,20,2,"['B', 'C']"
Pumpkin,"['Lemon', 'Basil', 'Garlic']","['Tea', 'Orange']",Korean,Spring,High in Protein,20,5,"['K', 'E']"
Brussels Sprouts,"['Lemon', 'Basil', 'Ginger']","['Tea', 'Orange']",Japanese,Spring,Good for Heart Health,25,5,"['K', 'C']"
Salmon,"['Lemon', 'Ginger', 'Olive Oil']","['Orange', 'Peanut Butter']",Thai,Summer,Boosts Immunity,10,18,"['B', 'D']"
Mushroom,"['Soy Sauce', 'Garlic', 'Rosemary']","['Vinegar', 'Chocolate']",Thai,Spring,Boosts Immunity,20,5,"['C', 'K']"
Mushroom,"['Thyme', 'Soy Sauce', 'Ginger']","['Peanut Butter', 'Chocolate']",Korean,Winter,Supports Digestion,25,15,"['A', 'C']"
Carrot,"['Basil', 'Garlic', 'Lemon']","['Chocolate', 'Banana']",Thai,Summer,Supports Digestion,15,18,"['E', 'B']"
Tomato,"['Lemon', 'Thyme', 'Honey']","['Banana', 'Chocolate']",Mexican,Fall,Boosts Immunity,20,15,"['K', 'D']"
Apple,"['Rosemary', 'Honey', 'Olive Oil']","['Chocolate', 'Tea']",American,Winter,Good for Heart Health,20,15,"['B', 'C']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Lemon']","['Cucumber', 'Chocolate']",American,Fall,Rich in Antioxidants,10,15,"['D', 'A']"
Mushroom,"['Parmesan', 'Soy Sauce', 'Garlic']","['Vinegar', 'Tea']",Thai,Winter,Boosts Immunity,15,2,"['C', 'D']"
Tomato,"['Ginger', 'Parmesan', 'Olive Oil']","['Tea', 'Cucumber']",Thai,Spring,Boosts Immunity,20,18,"['D', 'C']"
Chicken,"['Thyme', 'Garlic', 'Parmesan']","['Milk', 'Cucumber']",Indian,Winter,Good for Heart Health,20,18,"['K', 'E']"
Salmon,"['Basil', 'Lemon', 'Rosemary']","['Vinegar', 'Milk']",Korean,Fall,Rich in Antioxidants,5,8,"['D', 'E']"
Carrot,"['Thyme', 'Honey', 'Ginger']","['Banana', 'Tea']",French,Spring,Supports Digestion,15,5,"['E', 'D']"
Apple,"['Garlic', 'Lemon', 'Rosemary']","['Orange', 'Chocolate']",Korean,Fall,Rich in Antioxidants,25,2,"['C', 'B']"
Pumpkin,"['Honey', 'Garlic', 'Rosemary']","['Banana', 'Chocolate']",Chinese,Spring,Good for Heart Health,5,12,"['B', 'C']"
Brussels Sprouts,"['Lemon', 'Thyme', 'Honey']","['Vinegar', 'Ketchup']",American,Summer,Boosts Immunity,15,5,"['K', 'C']"
Salmon,"['Rosemary', 'Thyme', 'Lemon']","['Milk', 'Vinegar']",Mediterranean,Fall,Boosts Immunity,30,5,"['A', 'K']"
Mushroom,"['Rosemary', 'Lemon', 'Thyme']","['Milk', 'Cucumber']",French,Spring,High in Protein,15,8,"['C', 'A']"
Pumpkin,"['Ginger', 'Rosemary', 'Honey']","['Coffee', 'Cucumber']",Italian,Spring,Boosts Immunity,20,12,"['K', 'B']"
Pumpkin,"['Soy Sauce', 'Olive Oil', 'Honey']","['Tea', 'Ketchup']",Chinese,Winter,Good for Heart Health,10,15,"['A', 'D']"
Brussels Sprouts,"['Parmesan', 'Garlic', 'Olive Oil']","['Milk', 'Banana']",Thai,Spring,Good for Heart Health,20,18,"['E', 'B']"
Chicken,"['Lemon', 'Parmesan', 'Ginger']","['Peanut Butter', 'Chocolate']",Indian,Spring,High in Protein,20,18,"['A', 'E']"
Carrot,"['Thyme', 'Honey', 'Garlic']","['Milk', 'Banana']",French,Spring,Boosts Immunity,5,2,"['K', 'E']"
Chicken,"['Parmesan', 'Thyme', 'Ginger']","['Coffee', 'Ketchup']",Mediterranean,Winter,High in Protein,25,8,"['K', 'B']"
Tomato,"['Olive Oil', 'Lemon', 'Honey']","['Chocolate', 'Peanut Butter']",Italian,Fall,Boosts Immunity,15,5,"['B', 'K']"
Mushroom,"['Basil', 'Thyme', 'Parmesan']","['Coffee', 'Orange']",Thai,Summer,Good for Heart Health,15,18,"['K', 'C']"
Apple,"['Lemon', 'Thyme', 'Ginger']","['Vinegar', 'Chocolate']",Mexican,Fall,Supports Digestion,5,2,"['D', 'C']"
Pumpkin,"['Thyme', 'Soy Sauce', 'Basil']","['Cucumber', 'Orange']",American,Fall,Boosts Immunity,25,15,"['A', 'K']"
Asparagus,"['Ginger', 'Rosemary', 'Olive Oil']","['Cucumber', 'Vinegar']",Indian,Summer,Rich in Antioxidants,15,12,"['B', 'C']"
Tomato,"['Rosemary', 'Ginger', 'Basil']","['Ketchup', 'Chocolate']",Mexican,Winter,Good for Heart Health,20,5,"['D', 'K']"
Beef,"['Garlic', 'Ginger', 'Parmesan']","['Chocolate', 'Milk']",Mexican,Fall,Supports Digestion,15,2,"['E', 'C']"
Brussels Sprouts,"['Lemon', 'Soy Sauce', 'Ginger']","['Banana', 'Vinegar']",Korean,Fall,Supports Digestion,25,2,"['A', 'B']"
Asparagus,"['Olive Oil', 'Garlic', 'Rosemary']","['Peanut Butter', 'Tea']",Italian,Spring,Rich in Antioxidants,15,2,"['C', 'A']"
Salmon,"['Thyme', 'Ginger', 'Olive Oil']","['Milk', 'Cucumber']",Thai,Spring,Boosts Immunity,5,18,"['E', 'C']"
Asparagus,"['Honey', 'Basil', 'Rosemary']","['Orange', 'Ketchup']",French,Summer,Boosts Immunity,15,15,"['E', 'A']"
Pumpkin,"['Olive Oil', 'Ginger', 'Lemon']","['Milk', 'Tea']",Mediterranean,Winter,Boosts Immunity,10,18,"['K', 'B']"
Brussels Sprouts,"['Soy Sauce', 'Ginger', 'Garlic']","['Peanut Butter', 'Orange']",Mexican,Fall,High in Protein,20,18,"['C', 'D']"
Brussels Sprouts,"['Soy Sauce', 'Rosemary', 'Olive Oil']","['Vinegar', 'Coffee']",Mexican,Fall,Boosts Immunity,30,2,"['K', 'A']"
Beef,"['Lemon', 'Thyme', 'Garlic']","['Peanut Butter', 'Vinegar']",French,Summer,High in Protein,25,2,"['C', 'E']"
Salmon,"['Lemon', 'Soy Sauce', 'Garlic']","['Vinegar', 'Ketchup']",French,Spring,Good for Heart Health,10,12,"['D', 'K']"
Pumpkin,"['Rosemary', 'Parmesan', 'Garlic']","['Orange', 'Cucumber']",French,Fall,Good for Heart Health,10,8,"['B', 'E']"
Pumpkin,"['Thyme', 'Parmesan', 'Rosemary']","['Cucumber', 'Milk']",Mediterranean,Winter,Boosts Immunity,15,18,"['K', 'B']"
Beef,"['Olive Oil', 'Thyme', 'Basil']","['Milk', 'Orange']",Japanese,Winter,Supports Digestion,10,12,"['K', 'A']"
Chicken,"['Rosemary', 'Garlic', 'Lemon']","['Milk', 'Vinegar']",French,Fall,High in Protein,15,8,"['C', 'B']"
Apple,"['Thyme', 'Parmesan', 'Olive Oil']","['Chocolate', 'Orange']",Japanese,Winter,High in Protein,20,15,"['D', 'B']"
Mushroom,"['Olive Oil', 'Soy Sauce', 'Lemon']","['Orange', 'Cucumber']",Indian,Winter,Rich in Antioxidants,10,15,"['A', 'D']"
Brussels Sprouts,"['Olive Oil', 'Ginger', 'Rosemary']","['Milk', 'Vinegar']",Korean,Fall,Good for Heart Health,25,18,"['E', 'A']"
Brussels Sprouts,"['Olive Oil', 'Honey', 'Thyme']","['Tea', 'Peanut Butter']",Indian,Spring,Rich in Antioxidants,30,15,"['B', 'K']"
Mushroom,"['Soy Sauce', 'Garlic', 'Rosemary']","['Milk', 'Tea']",American,Spring,Supports Digestion,5,12,"['C', 'B']"
Salmon,"['Rosemary', 'Basil', 'Parmesan']","['Milk', 'Peanut Butter']",Korean,Spring,Rich in Antioxidants,15,2,"['E', 'B']"
Mushroom,"['Olive Oil', 'Rosemary', 'Parmesan']","['Milk', 'Ketchup']",Chinese,Summer,Boosts Immunity,15,8,"['A', 'K']"
Apple,"['Honey', 'Basil', 'Lemon']","['Vinegar', 'Ketchup']",Mexican,Spring,Good for Heart Health,20,8,"['D', 'A']"
Salmon,"['Soy Sauce', 'Olive Oil', 'Basil']","['Orange', 'Banana']",American,Summer,Boosts Immunity,10,8,"['E', 'A']"
Carrot,"['Rosemary', 'Basil', 'Soy Sauce']","['Orange', 'Ketchup']",Japanese,Winter,Supports Digestion,5,12,"['D', 'C']"
Brussels Sprouts,"['Ginger', 'Rosemary', 'Soy Sauce']","['Milk', 'Banana']",Chinese,Winter,High in Protein,5,18,"['C', 'A']"
Salmon,"['Rosemary', 'Soy Sauce', 'Parmesan']","['Coffee', 'Banana']",French,Summer,Rich in Antioxidants,15,12,"['D', 'C']"
Mushroom,"['Garlic', 'Lemon', 'Parmesan']","['Peanut Butter', 'Banana']",Mediterranean,Spring,High in Protein,15,5,"['B', 'C']"
Apple,"['Soy Sauce', 'Olive Oil', 'Ginger']","['Cucumber', 'Vinegar']",Japanese,Summer,Boosts Immunity,20,2,"['E', 'B']"
Tomato,"['Garlic', 'Soy Sauce', 'Honey']","['Coffee', 'Milk']",Italian,Spring,Rich in Antioxidants,25,18,"['E', 'D']"
Pumpkin,"['Parmesan', 'Garlic', 'Basil']","['Vinegar', 'Ketchup']",Japanese,Winter,Rich in Antioxidants,10,18,"['B', 'C']"
Chicken,"['Basil', 'Rosemary', 'Thyme']","['Ketchup', 'Orange']",Chinese,Spring,Good for Heart Health,20,15,"['E', 'D']"
Tomato,"['Thyme', 'Olive Oil', 'Parmesan']","['Banana', 'Chocolate']",Mediterranean,Fall,Rich in Antioxidants,10,12,"['E', 'C']"
Chicken,"['Basil', 'Olive Oil', 'Garlic']","['Peanut Butter', 'Ketchup']",Chinese,Fall,High in Protein,15,18,"['A', 'B']"
Apple,"['Olive Oil', 'Ginger', 'Thyme']","['Orange', 'Vinegar']",French,Winter,Boosts Immunity,25,2,"['B', 'E']"
Chicken,"['Rosemary', 'Garlic', 'Ginger']","['Vinegar', 'Ketchup']",Italian,Spring,Boosts Immunity,5,5,"['C', 'A']"
Tomato,"['Basil', 'Thyme', 'Honey']","['Banana', 'Vinegar']",American,Fall,High in Protein,5,12,"['E', 'K']"
Mushroom,"['Parmesan', 'Thyme', 'Ginger']","['Cucumber', 'Vinegar']",French,Fall,Rich in Antioxidants,10,2,"['A', 'D']"
Asparagus,"['Olive Oil', 'Honey', 'Basil']","['Tea', 'Orange']",Chinese,Winter,High in Protein,10,5,"['E', 'A']"
Tomato,"['Parmesan', 'Ginger', 'Basil']","['Chocolate', 'Vinegar']",Japanese,Winter,High in Protein,25,5,"['D', 'B']"
Tomato,"['Rosemary', 'Basil', 'Honey']","['Ketchup', 'Milk']",Mexican,Spring,High in Protein,30,18,"['D', 'K']"
Beef,"['Thyme', 'Ginger', 'Soy Sauce']","['Vinegar', 'Banana']",Mexican,Winter,Rich in Antioxidants,10,12,"['E', 'C']"
Carrot,"['Honey', 'Olive Oil', 'Rosemary']","['Chocolate', 'Ketchup']",Chinese,Winter,High in Protein,5,12,"['B', 'A']"
Chicken,"['Rosemary', 'Olive Oil', 'Soy Sauce']","['Ketchup', 'Tea']",Thai,Winter,High in Protein,25,2,"['A', 'D']"
Carrot,"['Lemon', 'Basil', 'Rosemary']","['Tea', 'Cucumber']",Italian,Summer,Good for Heart Health,5,18,"['E', 'A']"
Asparagus,"['Soy Sauce', 'Olive Oil', 'Honey']","['Vinegar', 'Banana']",Chinese,Fall,Good for Heart Health,10,15,"['B', 'C']"
Tomato,"['Soy Sauce', 'Parmesan', 'Honey']","['Banana', 'Coffee']",French,Summer,Rich in Antioxidants,15,5,"['K', 'A']"
Brussels Sprouts,"['Lemon', 'Honey', 'Ginger']","['Orange', 'Peanut Butter']",Mediterranean,Winter,Boosts Immunity,20,5,"['B', 'K']"
Beef,"['Rosemary', 'Basil', 'Thyme']","['Banana', 'Milk']",Thai,Summer,High in Protein,30,8,"['K', 'D']"
Mushroom,"['Olive Oil', 'Thyme', 'Honey']","['Peanut Butter', 'Ketchup']",Japanese,Spring,Boosts Immunity,10,5,"['A', 'D']"
Salmon,"['Basil', 'Parmesan', 'Ginger']","['Ketchup', 'Cucumber']",American,Winter,High in Protein,20,15,"['A', 'K']"
Salmon,"['Parmesan', 'Garlic', 'Olive Oil']","['Cucumber', 'Coffee']",Mexican,Winter,Good for Heart Health,25,18,"['D', 'B']"
Chicken,"['Honey', 'Basil', 'Parmesan']","['Cucumber', 'Vinegar']",American,Winter,Rich in Antioxidants,5,2,"['A', 'E']"
Mushroom,"['Olive Oil', 'Thyme', 'Honey']","['Milk', 'Tea']",Indian,Fall,High in Protein,20,2,"['B', 'A']"
Salmon,"['Garlic', 'Rosemary', 'Lemon']","['Vinegar', 'Cucumber']",Chinese,Winter,Boosts Immunity,10,8,"['C', 'E']"
Brussels Sprouts,"['Soy Sauce', 'Ginger', 'Honey']","['Cucumber', 'Peanut Butter']",Chinese,Fall,Rich in Antioxidants,15,5,"['E', 'A']"
Beef,"['Parmesan', 'Ginger', 'Thyme']","['Ketchup', 'Peanut Butter']",American,Winter,Boosts Immunity,10,18,"['D', 'A']"
Brussels Sprouts,"['Thyme', 'Soy Sauce', 'Lemon']","['Tea', 'Ketchup']",American,Spring,Supports Digestion,25,18,"['K', 'B']"
Apple,"['Parmesan', 'Honey', 'Garlic']","['Orange', 'Ketchup']",Thai,Summer,High in Protein,15,12,"['D', 'A']"
Tomato,"['Lemon', 'Thyme', 'Rosemary']","['Chocolate', 'Orange']",Thai,Summer,Boosts Immunity,25,18,"['K', 'D']"
Asparagus,"['Soy Sauce', 'Rosemary', 'Olive Oil']","['Tea', 'Vinegar']",Thai,Winter,Good for Heart Health,10,12,"['E', 'A']"
Mushroom,"['Olive Oil', 'Honey', 'Parmesan']","['Chocolate', 'Peanut Butter']",Korean,Winter,High in Protein,25,2,"['D', 'E']"
Pumpkin,"['Rosemary', 'Honey', 'Lemon']","['Tea', 'Vinegar']",Indian,Winter,High in Protein,20,12,"['C', 'B']"
Brussels Sprouts,"['Rosemary', 'Honey', 'Ginger']","['Coffee', 'Banana']",French,Spring,Rich in Antioxidants,5,15,"['A', 'B']"
Beef,"['Basil', 'Honey', 'Lemon']","['Milk', 'Peanut Butter']",Chinese,Winter,Good for Heart Health,5,15,"['K', 'E']"
Chicken,"['Olive Oil', 'Rosemary', 'Basil']","['Tea', 'Chocolate']",Mediterranean,Fall,Rich in Antioxidants,10,5,"['E', 'C']"
Asparagus,"['Honey', 'Rosemary', 'Ginger']","['Milk', 'Banana']",French,Summer,High in Protein,20,18,"['K', 'E']"
Salmon,"['Ginger', 'Soy Sauce', 'Rosemary']","['Chocolate', 'Peanut Butter']",American,Spring,High in Protein,25,12,"['A', 'B']"
Tomato,"['Honey', 'Soy Sauce', 'Ginger']","['Vinegar', 'Cucumber']",French,Spring,Boosts Immunity,25,2,"['A', 'D']"
Pumpkin,"['Thyme', 'Soy Sauce', 'Lemon']","['Orange', 'Vinegar']",Mexican,Summer,Rich in Antioxidants,10,8,"['A', 'E']"
Mushroom,"['Olive Oil', 'Lemon', 'Rosemary']","['Orange', 'Cucumber']",Thai,Summer,Good for Heart Health,20,2,"['E', 'B']"
Tomato,"['Lemon', 'Soy Sauce', 'Ginger']","['Tea', 'Coffee']",Thai,Summer,Good for Heart Health,25,5,"['B', 'E']"
Pumpkin,"['Ginger', 'Rosemary', 'Thyme']","['Orange', 'Coffee']",Indian,Summer,Good for Heart Health,15,2,"['C', 'B']"
Apple,"['Ginger', 'Basil', 'Lemon']","['Peanut Butter', 'Coffee']",Chinese,Winter,High in Protein,25,5,"['E', 'D']"
Brussels Sprouts,"['Garlic', 'Rosemary', 'Olive Oil']","['Chocolate', 'Orange']",Mexican,Spring,Good for Heart Health,15,5,"['K', 'C']"
Chicken,"['Garlic', 'Parmesan', 'Ginger']","['Milk', 'Vinegar']",Thai,Winter,High in Protein,30,5,"['C', 'E']"
Beef,"['Lemon', 'Parmesan', 'Soy Sauce']","['Orange', 'Vinegar']",Italian,Winter,Boosts Immunity,20,5,"['C', 'B']"
Asparagus,"['Olive Oil', 'Lemon', 'Soy Sauce']","['Tea', 'Milk']",American,Fall,Rich in Antioxidants,20,18,"['K', 'A']"
Carrot,"['Basil', 'Olive Oil', 'Soy Sauce']","['Tea', 'Vinegar']",Japanese,Fall,Supports Digestion,20,8,"['C', 'A']"
Apple,"['Soy Sauce', 'Lemon', 'Parmesan']","['Cucumber', 'Ketchup']",Thai,Summer,High in Protein,30,2,"['K', 'A']"
Asparagus,"['Lemon', 'Basil', 'Honey']","['Peanut Butter', 'Orange']",Mexican,Summer,Good for Heart Health,15,18,"['A', 'E']"
Asparagus,"['Thyme', 'Ginger', 'Rosemary']","['Orange', 'Cucumber']",American,Fall,High in Protein,20,8,"['A', 'K']"
Pumpkin,"['Ginger', 'Honey', 'Thyme']","['Ketchup', 'Vinegar']",American,Winter,Rich in Antioxidants,20,8,"['D', 'C']"
Apple,"['Garlic', 'Olive Oil', 'Soy Sauce']","['Coffee', 'Chocolate']",Japanese,Fall,Boosts Immunity,15,12,"['D', 'C']"
Pumpkin,"['Parmesan', 'Lemon', 'Ginger']","['Chocolate', 'Ketchup']",Thai,Fall,Rich in Antioxidants,25,18,"['D', 'E']"
Brussels Sprouts,"['Soy Sauce', 'Basil', 'Rosemary']","['Milk', 'Banana']",Chinese,Spring,Good for Heart Health,25,18,"['C', 'E']"
Asparagus,"['Ginger', 'Parmesan', 'Garlic']","['Milk', 'Ketchup']",Italian,Summer,High in Protein,15,8,"['B', 'A']"
Carrot,"['Thyme', 'Soy Sauce', 'Olive Oil']","['Chocolate', 'Tea']",Mexican,Winter,Supports Digestion,15,5,"['E', 'C']"
Salmon,"['Rosemary', 'Soy Sauce', 'Olive Oil']","['Cucumber', 'Vinegar']",Mediterranean,Spring,Rich in Antioxidants,5,5,"['E', 'C']"
Brussels Sprouts,"['Rosemary', 'Honey', 'Lemon']","['Milk', 'Coffee']",Thai,Spring,Good for Heart Health,20,12,"['A', 'K']"
Apple,"['Lemon', 'Olive Oil', 'Basil']","['Orange', 'Vinegar']",Mexican,Spring,Rich in Antioxidants,5,2,"['C', 'D']"
Chicken,"['Thyme', 'Garlic', 'Olive Oil']","['Cucumber', 'Chocolate']",Thai,Winter,Good for Heart Health,25,15,"['E', 'C']"
Mushroom,"['Garlic', 'Parmesan', 'Honey']","['Banana', 'Coffee']",Japanese,Summer,Boosts Immunity,25,15,"['B', 'C']"
Carrot,"['Rosemary', 'Garlic', 'Honey']","['Tea', 'Milk']",Chinese,Spring,Rich in Antioxidants,15,5,"['A', 'B']"
Chicken,"['Soy Sauce', 'Thyme', 'Honey']","['Vinegar', 'Tea']",Mexican,Spring,Boosts Immunity,30,8,"['E', 'K']"
Beef,"['Soy Sauce', 'Ginger', 'Olive Oil']","['Milk', 'Chocolate']",Thai,Winter,Rich in Antioxidants,5,18,"['K', 'C']"
Carrot,"['Lemon', 'Rosemary', 'Garlic']","['Chocolate', 'Banana']",Italian,Summer,Rich in Antioxidants,30,15,"['D', 'K']"
Mushroom,"['Garlic', 'Honey', 'Soy Sauce']","['Tea', 'Ketchup']",Indian,Winter,Rich in Antioxidants,5,15,"['C', 'K']"
Beef,"['Olive Oil', 'Lemon', 'Basil']","['Tea', 'Peanut Butter']",Korean,Fall,Supports Digestion,15,18,"['D', 'A']"
Salmon,"['Thyme', 'Olive Oil', 'Lemon']","['Tea', 'Cucumber']",Thai,Fall,High in Protein,5,8,"['C', 'B']"
Pumpkin,"['Thyme', 'Lemon', 'Rosemary']","['Ketchup', 'Milk']",Indian,Fall,High in Protein,10,5,"['B', 'K']"
Pumpkin,"['Ginger', 'Parmesan', 'Soy Sauce']","['Vinegar', 'Peanut Butter']",Japanese,Spring,Rich in Antioxidants,30,2,"['K', 'D']"
Brussels Sprouts,"['Garlic', 'Honey', 'Lemon']","['Peanut Butter', 'Ketchup']",Korean,Spring,Boosts Immunity,10,5,"['D', 'B']"
Salmon,"['Lemon', 'Soy Sauce', 'Honey']","['Vinegar', 'Tea']",Indian,Spring,Boosts Immunity,30,12,"['A', 'E']"
Salmon,"['Ginger', 'Garlic', 'Basil']","['Tea', 'Cucumber']",Chinese,Fall,Boosts Immunity,30,12,"['D', 'C']"
Chicken,"['Honey', 'Basil', 'Rosemary']","['Cucumber', 'Vinegar']",Mexican,Spring,Supports Digestion,30,5,"['K', 'D']"
